 cluster classTPDWins PDLoss PDTies PDwinloss| PFWins PFLosses PFTies PFwinloss| HMWins HMLosses HMTies HMwinloss
vanilla-compass true |10 0 10 50| 6 10 4 -20 |9 0 11 45
vanilla-compass false| 0 9 11 -45| 0 0 20 0| 0 9 11 -45
Compass-1up true |0 1 19 -5| 10 0 10 50 |9 0 11 45
Compass-1up false| 0 9 11 -45| 0 0 20 0| 0 9 11 -45
K=1 true |0 1 19 -5| 7 7 6 0 |6 8 6 -10
K=1 false| 8 6 6 10| 0 0 20 0| 8 6 6 10
K=2 true |0 1 19 -5| 1 12 7 -55 |0 13 7 -65
K=2 false| 13 0 7 65| 0 0 20 0| 13 0 7 65
K=4 true |0 1 19 -5| 4 5 11 -5 |3 5 12 -10
K=4 false| 5 3 12 10| 0 0 20 0| 5 3 12 10
K=8 true |0 1 19 -5| 1 12 7 -55 |0 13 7 -65
K=8 false| 13 0 7 65| 0 0 20 0| 13 0 7 65
K=16 true |0 1 19 -5| 4 5 11 -5 |3 5 12 -10
K=16 false| 5 3 12 10| 0 0 20 0| 5 3 12 10
BisectK=4 true |0 1 19 -5| 10 0 10 50 |9 0 11 45
BisectK=4 false| 0 9 11 -45| 0 0 20 0| 0 9 11 -45
BisectK=6 true |0 1 19 -5| 4 5 11 -5 |3 5 12 -10
BisectK=6 false| 5 3 12 10| 0 0 20 0| 5 3 12 10
BisectK=8 true |0 1 19 -5| 10 0 10 50 |9 0 11 45
BisectK=8 false| 0 9 11 -45| 0 0 20 0| 0 9 11 -45
Best-K true |0 1 19 -5| 4 5 11 -5 |3 5 12 -10
Best-K false| 5 3 12 10| 0 0 20 0| 5 3 12 10
 cluster classTPDWins PDLoss PDTies PDwinloss| PFWins PFLosses PFTies PFwinloss| HMWins HMLosses HMTies HMwinloss
vanilla-compass true |0 0 20 0| 4 3 13 5 |4 3 13 5
vanilla-compass false| 3 4 13 -5| 0 0 20 0| 3 4 13 -5
Compass-1up true |0 0 20 0| 0 10 10 -50 |0 10 10 -50
Compass-1up false| 10 0 10 50| 0 0 20 0| 10 0 10 50
K=1 true |0 0 20 0| 0 10 10 -50 |0 10 10 -50
K=1 false| 10 0 10 50| 0 0 20 0| 10 0 10 50
K=2 true |0 0 20 0| 4 3 13 5 |4 3 13 5
K=2 false| 3 4 13 -5| 0 0 20 0| 3 4 13 -5
K=4 true |0 0 20 0| 0 10 10 -50 |0 10 10 -50
K=4 false| 10 0 10 50| 0 0 20 0| 10 0 10 50
K=8 true |0 0 20 0| 12 0 8 60 |12 0 8 60
K=8 false| 0 12 8 -60| 0 0 20 0| 0 12 8 -60
K=16 true |0 0 20 0| 12 0 8 60 |12 0 8 60
K=16 false| 0 12 8 -60| 0 0 20 0| 0 12 8 -60
BisectK=4 true |0 0 20 0| 12 0 8 60 |12 0 8 60
BisectK=4 false| 0 12 8 -60| 0 0 20 0| 0 12 8 -60
BisectK=6 true |0 0 20 0| 4 3 13 5 |4 3 13 5
BisectK=6 false| 3 4 13 -5| 0 0 20 0| 3 4 13 -5
BisectK=8 true |0 0 20 0| 0 10 10 -50 |0 10 10 -50
BisectK=8 false| 10 0 10 50| 0 0 20 0| 10 0 10 50
Best-K true |0 0 20 0| 4 3 13 5 |4 3 13 5
Best-K false| 3 4 13 -5| 0 0 20 0| 3 4 13 -5
 cluster classTPDWins PDLoss PDTies PDwinloss| PFWins PFLosses PFTies PFwinloss| HMWins HMLosses HMTies HMwinloss
vanilla-compass true |0 0 200 0| 83 75 42 4 |83 75 42 4
vanilla-compass false| 75 83 42 -4| 0 0 200 0| 75 83 42 -4
